date,c,d,act,out,pol1,pol2,pol3
2020-05-07,0.003310152478793484,0.00017996132533358247,0.5363203244556565,0.6985428668484978,0.9996814802076472,0.6748486959867236,0.4720029010964212
2020-05-08,0.0033862187785123213,0.0001839507229605122,0.5809838347092096,0.7239419328854403,0.9996814802076472,0.6746519220280868,0.4099308194034105
2020-05-09,0.003454774836389862,0.00018801040359932539,0.5751098223815865,0.5251428792558412,0.9996814802076472,0.6646099908512743,0.3998888882265977
2020-05-10,0.003522363666151474,0.00019029292808050505,0.4214080335676942,0.3529719909616578,0.9996814802076472,0.6646099908512743,0.3998888882265977
2020-05-11,0.0035724654131943805,0.00019288335908993737,0.5074283671602587,0.644956139793376,0.9996844856165231,0.5902082594064383,0.39700194868636457
2020-05-12,0.0036375374417685234,0.00019726768030745224,0.5324566684628165,0.7023164899556635,0.9996844856165231,0.5703987995848075,0.35811329989178925
2020-05-13,0.00369474781344196,0.00020165869514514673,0.5435347489864106,0.7228604033120204,0.9996844856165231,0.5703987995848075,0.35811329989178925
2020-05-14,0.0037726046565587854,0.00020573176302431868,0.5538046156481631,0.7426344449340508,0.9996844856165231,0.5636374696560379,0.3513519699630197
2020-05-15,0.003844842205535005,0.0002106448802360075,0.6081314277799118,0.778141821127158,0.9996844856165231,0.5205168604458706,0.2712026718258931
2020-05-16,0.003911708124317238,0.00021382434982122816,0.5688055711012238,0.5653712068967746,0.9996844856165231,0.514869697168141,0.2652550647172122
2020-05-17,0.003960263645098692,0.00021556803787796497,0.4529987323082963,0.3791077797524296,0.9996844856165231,0.49656372827785056,0.24694909582692245
2020-05-18,0.004020620018256448,0.0002174389047181106,0.5560839868665473,0.6845208245031897,0.9996844856165231,0.49656372827785056,0.24694909582692245
2020-05-19,0.004082047370642912,0.0002215588279385386,0.574057444223964,0.7482956828851419,0.9996844856165231,0.49656372827785056,0.24232951129551566
2020-05-20,0.0041439700509226535,0.00022540431273161075,0.5900264351156282,0.7717256984038119,0.9996844856165231,0.457675079483275,0.22585546629271736
2020-05-21,0.004219356948193287,0.00022907911021010797,0.6090793536999541,0.8016870899778684,0.9996844856165231,0.457675079483275,0.24151854956932747
2020-05-22,0.004287524776100414,0.00023233890323748156,0.6796693965267059,0.8350794785448845,0.9996844856165231,0.4194861387379934,0.23532285566360825
2020-05-23,0.004352221961944531,0.00023511006199175832,0.6064574152106322,0.617157330082979,0.9996844856165231,0.4185475910461422,0.2343843079717571
2020-05-24,0.004410202099938598,0.0002364287051671021,0.49836700105024934,0.424425382255315,0.9996844856165231,0.4185475910461422,0.2343843079717571
2020-05-25,0.004467379003511136,0.00023792138246711098,0.46938780053314466,0.4551312099228458,0.9996844856165231,0.4185475910461422,0.2343843079717571
2020-05-26,0.004525948180080995,0.0002399227749007552,0.6036100454306417,0.7933633316725353,0.9996844856165231,0.41790838274768216,0.2343843079717571
2020-05-27,0.004583205407095682,0.00024383519589562166,0.6148382356047879,0.8218195078684631,0.9996844856165231,0.41615986732344684,0.23263579254752184
